IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_1996_for_standard_report,ipcc_code_1996_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021
Non-Annex_I,Rest Central America,ABW,Aruba,1A1a,Public electricity and heat production,CO2,bio,0.022396837512188,0.021411982289496,0.021450590528706,0.021406614396139,0.021213674775491,0.075382558004736,0.069844329941074,0.086225203009408,0.084357631237153,0.096325111609707,0.016784044777955,0.017672185634271,0.017771705590022,0.015513076543805,0.014933711108735,0.015615341171638,0.015943035895189,,,,0.5387377638843,0.56224446824526,0.52071705099037,0.51733365422454,0.46058091286307,0.48142074224675,0.52849754298581,0.53703249038383,0.73085079423945,1.5071300482562,1.0736144227973,1.0969669423992,1.1731989550811,1.0962573978455,1.309499300324,1.0229384860863,1.0276013995076,1.0550250562285,0.97806474517514,0.97275752378439,1.1606504486598,1.1184195235328,1.3376030574348,2.3714325310667,2.4970658329703,2.9707950921627,2.4387480668981,2.5090983829909,3.0966649982838,3.2556107084129,3.3788985046949,3.3788985046949
Non-Annex_I,Rest Central America,ABW,Aruba,1A2,Manufacturing Industries and Construction,CO2,bio,12.228673281655,11.690942330065,9.5049305869767,9.3066702480079,9.9624003486196,8.5919608995909,8.1931987334525,7.3246823315061,8.1022111105477,7.7083023838149,7.3078638208882,7.5135446543977,7.6226207490174,6.0429722223208,5.6001416657757,5.8688360630487,6.4409865016565,5.6681276057331,4.8632762065263,4.6165117287864,3.3149718957588,3.7248198635838,4.2398444821979,4.1719852216589,3.9656373636978,4.0143469184221,4.2725266640977,4.2399132498568,3.9241232461833,3.741789895115,4.5010232112618,4.5989263602299,5.1833064598901,4.9611716820724,5.4661711426764,4.8002407515964,4.8713199676657,4.6778203054098,4.3697488894392,4.3234223140859,8.0752066139509,10.982452062754,9.8565286403353,6.8865708874209,6.8900520206032,7.3786605310169,7.8531656783523,9.3405057870566,7.3654024066785,7.7180689703267,8.0475686034658,8.0475686034658
Non-Annex_I,Rest Central America,ABW,Aruba,1A4,Residential and other sectors,CO2,bio,0.93831453271285,0.9021562203181,0.90596227872045,0.90555262668467,0.90443755968091,0.84466864290536,0.79447869084184,0.76932293063636,0.76143356105784,0.72631194160865,0.78716351850235,0.82838137778981,0.84040369783824,0.75046563830425,0.80011927472277,0.86557707373291,0.89435148384107,0.81330350574754,0.78046175253292,0.80899389576995,2.9726460471146,1.4397430315781,1.4227524309321,1.5908150410647,1.5503150719518,1.5828084293148,1.5827881447076,1.5948490980996,2.1128572983791,2.1671155713068,2.0702299054734,2.1326842427201,2.1778295108596,2.257432009856,2.4290584609039,2.4902329005407,2.5531884168033,2.5335500495788,2.0246280103943,3.5312224279501,4.3383434181704,7.6034290913305,8.1879993057603,7.7426908411255,8.469279971664,8.0056293828098,8.462789323291,8.4853449321195,8.5581364326473,6.5756765421922,10.258478355914,10.258478355914
Non-Annex_I,Rest Central America,ABW,Aruba,1B1,Fugitive emissions from solid fuels,CO2,bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Annex_I,Rest Central America,ABW,Aruba,1A1a,Public electricity and heat production,CO2,fossil,34.724363499921,34.724363499921,34.176170325924,38.51942145018,34.307703550257,42.696097141749,45.750699896619,47.303660191767,56.357220720872,49.007612349739,49.000360290375,46.898137387333,44.681135203447,44.99597765331,50.988694721951,52.237170709397,50.889924473729,50.781913563624,187.53117216883,200.9956049944,212.23541905401,272.26854695382,324.85404205188,270.80561887875,300.51887639183,369.63643910099,245.19165901588,360.37383058481,384.476966814,341.68187919154,416.4194944451,431.0021190829,477.10193444285,688.20984851807,707.20635270706,744.74071004161,739.960580032,759.319593014,739.84426933351,775.73518264005,808.75737643725,758.61944773384,896.29214801724,846.44248754271,867.8208893464,875.16956952167,865.6559632727,636.49981627679,626.46984354522,644.43157576691,531.84651054778,592.53686928375
Non-Annex_I,Rest Central America,ABW,Aruba,1A2,Manufacturing Industries and Construction,CO2,fossil,0.476373955363,0.476373955363,0.53466337545013,0.4463785975423,0.50466801762943,0.56470955754609,0.62321507492204,0.65102837719227,0.68122674975687,0.76282126478106,0.83256073524748,0.98398470691911,0.76665198057436,1.0668496158679,1.1744492755131,1.3012854070498,1.9955927774675,5.8973862096702,19.970907980923,23.397682497262,20.189476928869,23.202252864784,24.634069923806,67.590150459005,73.456934495769,32.884659994179,20.812927007352,28.33975821523,63.176334771242,63.635634771001,66.608618755769,60.400488641314,62.493233457435,65.211139072707,77.165000141731,59.174032315569,54.214217791551,53.690013746991,46.674148029644,48.697086186365,48.400556639781,57.367738634463,119.19833714179,110.1363863867,123.68550962423,117.32045417927,104.14138523697,94.509875593601,104.05534816205,107.27659016687,88.780172884751,98.850251618223
Non-Annex_I,Rest Central America,ABW,Aruba,1A3a,Domestic aviation,CO2,fossil,1.565827213379,1.565827213379,0.65133755820001,1.1861058763666,1.4217338047301,1.2746530581252,1.192578441938,1.192578441938,1.3116371302681,1.2816235133559,1.2210983898721,1.4361613159122,1.5102819910416,1.3929991203759,1.3727223280871,2.1376489566744,1.8335489131973,2.2250915241636,7.4281680018746,12.169289298692,13.151613037034,15.78962091762,17.823056428936,16.797803866171,18.802881854811,20.400721628643,13.535684511428,20.783183337105,15.719350373224,16.488132510718,7.3534744487282,7.3922643571656,6.570301248783,8.7265371046664,11.600048605543,12.768442849478,12.778487901721,12.889389811174,13.155522587706,12.742993116837,4.0330835916635,4.9031062552696,6.8191736937231,5.9832293151395,5.7476107727363,6.2153792080632,6.3000211057528,6.0508796024242,6.2234525813163,6.4166142723068,3.110773235578,3.5543791582311
Non-Annex_I,Rest Central America,ABW,Aruba,1A3b_noRES,Road transportation no resuspension,CO2,fossil,2.567612455479,2.567612455479,2.598788630628,2.9192370978272,3.3137715463355,4.8634395578768,5.1546674550957,5.4127635719972,5.5666888425729,4.7465572779555,8.3865305994479,8.6845990741457,9.2890283841762,11.088545341005,12.83438915825,12.029711760726,11.377593640607,13.853137642082,51.782794514473,66.206614600412,66.530667910768,81.182488108777,95.832468483812,93.395864885985,106.87486578894,118.02611365039,79.681524877214,139.19560940387,205.03966261688,235.6280163024,278.39425145964,286.95400263281,256.30736697173,310.78855040479,338.00315781203,373.63379236761,363.06853780661,370.02741065415,344.36207511318,383.05411631318,367.1107802319,311.38416708596,395.09199013719,400.41919299458,415.17172800547,411.02441617418,395.44480710658,387.38919448039,404.34756562385,416.8966302601,344.0629329795,383.32482981655
Non-Annex_I,Rest Central America,ABW,Aruba,1A3d,Inland navigation,CO2,fossil,,,,,,,,,,,0.20454398986224,0.20539686130049,0.21126962685039,0.27985978987248,0.29919501894957,0.29337419921998,,,0.11922973731815,0.13876505148944,0.13624858529138,,,,,0.19551078749972,0.12969905224693,0.19723514611621,0.19201391584069,2.1578348095232,2.4706429166715,2.4836756691733,2.7395557841236,2.9304888979136,2.9832655899214,2.0388593992473,2.5116035854209,2.4276601770548,2.2876127094817,2.4009181934412,2.837346084819,2.1579368585116,13.420569918208,13.498582700758,14.869650540299,15.130236910875,14.848307890272,14.434666988849,13.401605554419,13.817321460297,11.403373888113,12.704641901241
Non-Annex_I,Rest Central America,ABW,Aruba,1A3e,Other transportation,CO2,fossil,,,,,,,,,,0.029622081754748,0.029622081754748,0.029745594684594,0.030596089198574,0.03546315823516,0.037913271874516,0.037175671623967,0.036422192228763,0.033958944692697,0.11695441596663,0.13611692786189,0.95113999640871,1.1082582954216,1.4736282155844,16.213274775808,18.003147960594,18.798086823757,12.721380152732,17.570462775593,19.211271366202,20.067937665692,3.5949753286316,3.8403502618527,3.8821093135104,5.0655145629343,6.2445571325038,7.0039646032874,7.5548758540596,7.0317253806634,6.3710411234936,6.4189305875061,15.994800448089,19.42715141252,24.579521316208,23.702686746679,23.862084687087,24.25448994582,21.466478975764,17.170894745127,17.273715777231,17.800871512672,14.690980012048,16.36740512612
